"vehicle_id","test_date","test_mileage","postcode_area","make","colour","cylinder_capacity"
1328728984,2023-07-26,17234,"PE","HAWK","BLACK",5000
1454021561,2023-11-20,17235,"CR","AUDI","BLUE",1968
1204573677,2023-08-14,17288,"NE","SUZUKI","GREY",1242
1205322209,2023-08-15,17365,"NR","TOYOTA","RED",2494
1051978491,2023-11-28,17383,"WD","AUDI","BLACK",999
1257751161,2023-04-26,17400,"AL","NISSAN","WHITE",1198
856593441,2023-10-20,17406,"DY","VOLVO","BLUE",1969
739606556,2023-08-22,17458,"WS","HONDA","MULTI-COLOUR",599
914796894,2023-07-06,17460,"CV","HONDA","SILVER",598
745107487,2023-08-24,17482,"E","LAND ROVER","GREY",1999
985884773,2023-08-17,17599,"TS","AUDI","BLACK",1968
1234873151,2023-07-26,17623,"LL","NISSAN","BLUE",1198
1330934983,2023-06-26,17700,"HD","AUDI","SILVER",1968
1308239397,2023-11-07,17706,"CM","LAND ROVER","BLACK",1997
764648897,2023-03-09,17812,"CT","PEUGEOT","GREY",1200
95007639,2023-11-28,17923,"SS","FORD","GREY",999
1146678477,2023-03-07,18136,"M","VOLKSWAGEN","BLACK",999
827834776,2023-12-06,18166,"XX","MASERATI","BLACK",4244
1220716615,2023-04-06,18187,"NG","FORD","GREY",999
176896741,2023-04-26,18197,"SG","FORD","GREY",998
783035983,2023-02-15,18217,"S","HONDA","RED",1498
466590615,2023-03-01,18343,"FY","HONDA","WHITE",1318
282812393,2023-09-05,18374,"LE","MERCEDES-BENZ","SILVER",1950
104069435,2023-06-20,18417,"CO","MINI","WHITE",1499
1480783023,2023-03-17,18419,"NG","VOLKSWAGEN","RED",1395
539818957,2023-07-24,18492,"CH","DACIA","BLACK",898
666763093,2023-05-17,18496,"GL","VAUXHALL","BLUE",1229
1018015342,2023-01-07,18518,"SK","SUZUKI","WHITE",988
318443657,2023-12-19,18536,"TA","KIA","GREY",1591
1346029287,2023-09-20,18664,"DE","FIAT","RED",875
350037393,2023-02-14,18689,"BS","BMW","BLUE",1998
825981631,2023-08-25,18756,"CV","VAUXHALL","GREY",1398
1135096978,2023-10-02,18769,"NN","HONDA","BLACK",124
633592649,2023-01-06,18815,"TN","PORSCHE","GREY",3800
1264546874,2023-04-12,18837,"EX","SUZUKI","WHITE",599
207270321,2023-12-01,18969,"FK","AUDI","RED",1968
1471959341,2023-12-21,19100,"IG","FIAT","RED",1242
1290644755,2023-03-28,19174,"TW","NISSAN","BLACK",1598
43602491,2023-09-22,19187,"PE","MINI","GREY",1998
845880983,2023-02-11,19194,"NW","MERCEDES-BENZ","BLUE",2143
826048433,2023-11-25,19271,"HD","KIA","SILVER",1248
282880563,2023-10-20,19281,"CM","SUZUKI","SILVER",1586
365648261,2023-01-18,19348,"SO","MINI","BLACK",1995
166251389,2023-11-15,19399,"CF","FORD","GREY",1496
81934477,2023-11-14,19439,"HX","JAGUAR","BLUE",1999
779078251,2023-10-02,19642,"HD","CITROEN","WHITE",998
1094674971,2023-11-03,19652,"SG","VOLKSWAGEN","BLUE",999
1137062865,2023-11-28,19701,"KT","BMW","GREY",1998
1365592544,2023-11-17,19706,"W","TRIUMPH","BLACK",675
53442803,2023-12-19,19733,"SP","RENAULT","GREY",1197
235779615,2023-01-17,19760,"BL","FORD","BLACK",1498
564091555,2023-07-19,19819,"NE","VOLVO","BLACK",1969
530307609,2023-01-20,19862,"AB","VAUXHALL","WHITE",1499
426126563,2023-09-07,19878,"HP","VOLKSWAGEN","BLUE",1197
887832261,2023-11-24,19891,"DY","MERCEDES-BENZ","WHITE",2996
94584343,2023-08-03,19930,"PE","MAZDA","GREY",1998
967250003,2023-03-22,19958,"CW","SUZUKI","RED",1242
1015145393,2023-07-13,20030,"BD","PEUGEOT","PURPLE",998
1366913381,2023-04-27,20033,"RM","VOLKSWAGEN","BLACK",1498
903541819,2023-09-19,20106,"NG","VOLKSWAGEN","WHITE",1498
1396372199,2023-12-06,20178,"LE","SEAT","BLUE",1395
525308569,2023-07-20,20246,"TF","RENAULT","WHITE",1598
1000930199,2023-03-09,20257,"YO","KIA","BLUE",1591
140331343,2023-10-19,20265,"LE","FORD","SILVER",1242
509086769,2023-08-01,20303,"TF","BMW","GREY",1998
227001539,2023-05-24,20305,"WS","KIA","SILVER",1591
1337193523,2023-09-01,20312,"SM","SKODA","BLUE",1498
299259465,2023-07-11,20330,"BS","FORD","WHITE",1499
136799477,2023-03-09,20379,"M","SEAT","BLACK",1197
417965167,2023-06-20,20405,"SK","FIAT","WHITE",2287
365632183,2023-04-03,20458,"BB","SKODA","WHITE",1197
909066421,2023-05-19,20512,"PA","VAUXHALL","BLUE",1496
1150487157,2023-10-16,20527,"WA","RENAULT","RED",999
1155410281,2023-06-06,20564,"NG","JAGUAR","BLACK",1999
56641557,2023-06-24,20587,"TN","FORD","GREY",1560
502356395,2023-07-28,20607,"B","RENAULT","BLACK",1461
31484847,2023-06-02,20614,"CW","HYUNDAI","RED",1591
732628477,2023-11-14,20635,"BB","HYUNDAI","WHITE",1591
287674043,2023-02-20,20648,"G","VAUXHALL","WHITE",1398
1334195877,2023-02-06,20681,"EX","NISSAN","BLACK",999
466397745,2023-02-09,20713,"YO","VAUXHALL","RED",1598
177246901,2023-12-29,20743,"HP","VAUXHALL","GREY",1199
1126042885,2023-04-19,20749,"EX","DS","GREY",1997
1371877051,2023-10-09,20790,"KA","VAUXHALL","BLUE",1199
1169076169,2023-01-09,20793,"SO","BMW","BLACK",1998
868655243,2023-03-28,20958,"KT","PEUGEOT","WHITE",1199
1086966001,2023-02-02,21022,"M","SUZUKI","RED",1242
1495401461,2023-09-30,21041,"SS","NISSAN","GREY",1197
1498493345,2023-08-16,21058,"BS","KIA","WHITE",1248
781051695,2023-01-12,21129,"G","SUBARU","GREY",1995
467280185,2023-03-15,21193,"G","LAND ROVER","WHITE",1999
1043480595,2023-04-03,21225,"GL","BMW","WHITE",1170
991233401,2023-07-10,21243,"IV","VOLKSWAGEN","BLUE",2967
1299795765,2023-01-04,21431,"CR","MERCEDES-BENZ","BLACK",1332
365625943,2023-09-13,21507,"LN","RENAULT","GREY",898
1246827627,2023-04-21,21511,"B","SKODA","BLACK",999
303033629,2023-08-22,21525,"GL","VOLVO","BLACK",1999
1004593403,2023-03-15,21526,"SO","PEUGEOT","ORANGE",1200
1041962451,2023-04-20,21548,"SK","PEUGEOT","BLACK",1598
1350950355,2023-06-15,21571,"L","FORD","BROWN",1596
389564249,2023-06-01,21621,"CM","KIA","BLUE",1598
150032137,2023-05-18,21660,"RH","KIA","SILVER",998
1008755399,2023-08-14,21759,"N","HYUNDAI","GREY",1248
1296837065,2023-07-24,21784,"PE","MASERATI","GREY",2987
1354979131,2023-07-06,21804,"G","FORD","SILVER",1388
1193627463,2023-09-02,21849,"E","VAUXHALL","BLUE",1399
1085852259,2023-03-29,21871,"DY","CITROEN","GREY",1200
1481875663,2023-07-19,21962,"PE","PEUGEOT","GREY",1200
786327585,2023-02-02,22014,"ST","VOLKSWAGEN","SILVER",2967
1188351725,2023-05-31,22070,"WR","MG","SILVER",1490
564708387,2023-09-30,22107,"M","KIA","WHITE",1995
1260965385,2023-08-10,22139,"OX","KIA","SILVER",1591
1112840115,2023-07-19,22173,"MK","VAUXHALL","RED",999
